# (1)	(2)
# kT	c
5.218045043945312500e+01	2.069461196660995483e-01
5.240601730346679688e+01	2.053498625755310059e-01
5.263158035278320312e+01	2.037707418203353882e-01
5.285714340209960938e+01	2.022084295749664307e-01
5.308270645141601562e+01	2.006627470254898071e-01
5.330827331542968750e+01	1.991335600614547729e-01
5.353383636474609375e+01	1.976205259561538696e-01
5.375939941406250000e+01	1.961235255002975464e-01
5.398496246337890625e+01	1.946423798799514771e-01
5.421052551269531250e+01	1.931768357753753662e-01
5.443609237670898438e+01	1.917265802621841431e-01
5.466165542602539062e+01	1.902916878461837769e-01
5.488721847534179688e+01	1.888717412948608398e-01
5.511278152465820312e+01	1.874665766954421997e-01
5.533834457397460938e+01	1.860761493444442749e-01
5.556390762329101562e+01	1.847000867128372192e-01
5.578947448730468750e+01	1.833383589982986450e-01
5.601503753662109375e+01	1.819906383752822876e-01
5.624060058593750000e+01	1.806568950414657593e-01
5.646616363525390625e+01	1.793368756771087646e-01
5.669172668457031250e+01	1.780304014682769775e-01
5.691729354858398438e+01	1.767372936010360718e-01
5.714285659790039062e+01	1.754574328660964966e-01
5.736841964721679688e+01	1.741906702518463135e-01
5.759398269653320312e+01	1.729367077350616455e-01
5.781954956054687500e+01	1.716955304145812988e-01
5.804511260986328125e+01	1.704668551683425903e-01
5.827067565917968750e+01	1.692506670951843262e-01
5.849623870849609375e+01	1.680466979742050171e-01
5.872180557250976562e+01	1.668548285961151123e-01
5.894736862182617188e+01	1.656749397516250610e-01
5.917293167114257812e+01	1.645068228244781494e-01
5.939849472045898438e+01	1.633503735065460205e-01
5.962405776977539062e+01	1.622054427862167358e-01
5.984962463378906250e+01	1.610718220472335815e-01
6.007518768310546875e+01	1.599495559930801392e-01
6.030075073242187500e+01	1.588383018970489502e-01
6.052631378173828125e+01	1.577380001544952393e-01
6.075188064575195312e+01	1.566485613584518433e-01
6.097744369506835938e+01	1.555697768926620483e-01
6.120300674438476562e+01	1.545015424489974976e-01
6.142856979370117188e+01	1.534437537193298340e-01
6.165413284301757812e+01	1.523962914943695068e-01
6.187969970703125000e+01	1.513589620590209961e-01
6.210526275634765625e+01	1.503316909074783325e-01
