# (1)	(2)
# kT	c
5.240601730346679688e+01	1.535443514585494995e-01
5.263158035278320312e+01	1.529078334569931030e-01
5.285714340209960938e+01	1.522765159606933594e-01
5.308270645141601562e+01	1.516503691673278809e-01
5.330827331542968750e+01	1.510292589664459229e-01
5.353383636474609375e+01	1.504132151603698730e-01
5.375939941406250000e+01	1.498021334409713745e-01
5.398496246337890625e+01	1.491959244012832642e-01
5.421052551269531250e+01	1.485945880413055420e-01
5.443609237670898438e+01	1.479980200529098511e-01
5.466165542602539062e+01	1.474061906337738037e-01
5.488721847534179688e+01	1.468191146850585938e-01
5.511278152465820312e+01	1.462365984916687012e-01
5.533834457397460938e+01	1.456586122512817383e-01
5.556390762329101562e+01	1.450851708650588989e-01
5.578947448730468750e+01	1.445162296295166016e-01
5.601503753662109375e+01	1.439516246318817139e-01
5.624060058593750000e+01	1.433915048837661743e-01
5.646616363525390625e+01	1.428355872631072998e-01
5.669172668457031250e+01	1.422839760780334473e-01
5.691729354858398438e+01	1.417365521192550659e-01
5.714285659790039062e+01	1.411933153867721558e-01
5.736841964721679688e+01	1.406542658805847168e-01
5.759398269653320312e+01	1.401191949844360352e-01
5.781954956054687500e+01	1.395882070064544678e-01
5.804511260986328125e+01	1.390611082315444946e-01
5.827067565917968750e+01	1.385380476713180542e-01
5.849623870849609375e+01	1.380188614130020142e-01
5.872180557250976562e+01	1.375035047531127930e-01
5.894736862182617188e+01	1.369919180870056152e-01
5.917293167114257812e+01	1.364841908216476440e-01
5.939849472045898438e+01	1.359801590442657471e-01
5.962405776977539062e+01	1.354797631502151489e-01
5.984962463378906250e+01	1.349830776453018188e-01
6.007518768310546875e+01	1.344898939132690430e-01
6.030075073242187500e+01	1.340004056692123413e-01
6.052631378173828125e+01	1.335143744945526123e-01
6.075188064575195312e+01	1.330318301916122437e-01
6.097744369506835938e+01	1.325527578592300415e-01
6.120300674438476562e+01	1.320770978927612305e-01
6.142856979370117188e+01	1.316048353910446167e-01
6.165413284301757812e+01	1.311359405517578125e-01
6.187969970703125000e+01	1.306702643632888794e-01
6.210526275634765625e+01	1.302079260349273682e-01
6.233082580566406250e+01	1.297488510608673096e-01
6.255638885498046875e+01	1.292929649353027344e-01
6.278195571899414062e+01	1.288401782512664795e-01
6.300751876831054688e+01	1.283905357122421265e-01
6.323308181762695312e+01	1.279441118240356445e-01
6.345864486694335938e+01	1.275006979703903198e-01
6.368421173095703125e+01	1.270603239536285400e-01
6.390977478027343750e+01	1.266230493783950806e-01
6.413533782958984375e+01	1.261886656284332275e-01
6.436090087890625000e+01	1.257572770118713379e-01
6.458646392822265625e+01	1.253287643194198608e-01
6.481202697753906250e+01	1.249032393097877502e-01
6.503759002685546875e+01	1.244804114103317261e-01
6.526316070556640625e+01	1.240605786442756653e-01
6.548872375488281250e+01	1.236435100436210632e-01
6.571428680419921875e+01	1.232291460037231445e-01
